,author_id,post_id,post_parent_id,discussion_topic_title,discussion_topic_message,post_message,count_of_likes,timestamp
0,,348887,,share any difficultiesorask for help from other teams,pis there something you think is technically possible but you just dont have the ability to do it are there questions you are struggling with that you think another person or team can help with ask those questions hereorppps the hackathon team wont necessarily be monitoring this section it is more for participants to discuss issues but please come talk to the hackathon team if you are having trouble and we will try to help if we canorp,,,2019-09-30T18:56:14Z
1,,348886,,share things you cant do based on technical limitations that you wish you could,puse this to discuss any shortcomings of the canvas api that you would like to share data that you cant access due to your role as student data that is not accessible at all etcorpulli stylefontweight 400span stylefontweight 400there’s no reference in the api docs to this feature but it would be useful to haveorspanorlili stylefontweight 400span stylefontweight 400this is an existing documented feature but it’s not available to the student roleorspanorliorul,,,2019-09-30T18:56:14Z
2,,348885,,hackathon open qanda ,phave a general question ask hereorp,,,2019-09-30T18:56:14Z
3,175457.0,1121660,348885.0,hackathon open qanda ,phave a general question ask hereorp,"<p>This is my first time attending a hackathon, do you need to have extensive programming experience before entering? If not, what sort of knowledge or experience would I need for the event? Thank you</p>",1.0,2019-10-31T21:41:51Z
4,185698.0,1125446,1121660.0,hackathon open qanda ,phave a general question ask hereorp,"<p>Hi Benny, Welcome! </p>
<p>You don't have to have extensive programming experience, but <em>some </em>programming experience will help. Take a poke around some of the resources we have included in this site, but otherwise show up with an open mind and looking to learn something. We will do some quick icebreaker activities to help with group formation, so just be honest about your skills and what you can contribute. </p>
<p>You can take a look at the <a href='https://ubc.instructure.com/courses/46341/pages/about-the-final-presentations-and-judging?module_item_id=1420261' data-api-endpoint='https://ubc.instructure.com/api/v1/courses/46341/pages/about-the-final-presentations-and-judging' data-api-returntype='Page'>rubric</a> that we will be using  for 'judging'. Notice, technical excellence and implementation are only 1/3 of the total score. We are also looking for novel projects, and projects that have the potential to positively impact the student experience. </p>
<p>Best,</p>
<p>Alison</p>",1.0,2019-11-01T23:58:56Z
5,328348.0,1125942,1125446.0,hackathon open qanda ,phave a general question ask hereorp,"<p>Hi,</p>
<p>I am curious as to how would the teams be formed. Would it be based on individual skillset?  Should we team up on our own after the morning session?  </p>
<p>Thanks and Regards,</p>
<p>Gayatri G</p>",,2019-11-02T02:39:01Z
6,49358.0,1127553,1125942.0,hackathon open qanda ,phave a general question ask hereorp,"<p>Team formation is up to you! There's no limits on team size, and team are self-formed. If you are looking for a team, talk to the other folks in the room, or make a post here.</p>",,2019-11-02T17:32:50Z
7,156691.0,1124867,348885.0,hackathon open qanda ,phave a general question ask hereorp,"<p>Hi,</p>
<p>I am also wondering what we need to bring to the hackathon and how to prepare.</p>
<p>Also, I am new to the Canvas API, is there any instruction on how to get the API token? </p>
<p>Kate</p>",,2019-11-01T21:05:42Z
8,185698.0,1125426,1124867.0,hackathon open qanda ,phave a general question ask hereorp,"<p>Hi Kate,  you should bring: a laptop. We also recommend a mug and water bottle! If you are planning on exploring the API we suggest you take a look at the <a href='https://ubc.instructure.com/courses/46341/pages/canvas-api-guidelines?module_item_id=1420235' data-api-endpoint='https://ubc.instructure.com/api/v1/courses/46341/pages/canvas-api-guidelines' data-api-returntype='Page'>Canvas API Guidelines</a>.  You can take a look at some resources about the API here: <a href='https://ubc.instructure.com/courses/46341/pages/the-canvas-rest-api?module_item_id=1420237' data-api-endpoint='https://ubc.instructure.com/api/v1/courses/46341/pages/the-canvas-rest-api' data-api-returntype='Page'>https://canvas.ubc.ca/courses/46341/pages/the-canvas-rest-api?module_item_id=1420237. </a></p>
<p>We will also give a very quick introduction to the API on Saturday morning. </p>
<p>Best,</p>
<p>Alison</p>",,2019-11-01T23:52:43Z
9,,348884,,share your ideas and discoveries,puse this forum to share what you are doing your ideas or anything else you may want to collaborate on with the rest of the teamsorp,,,2019-09-30T18:56:14Z
10,,348883,,lets get some discussion started,puse this as a space to introduce yourselves orpulliwhat brought you hereorliliwhat skills will you bring to the hackathonorliliwhat skills would you like to learnorliliany initial project ideasorliorul,,,2019-09-30T18:56:14Z
11,,348882,,what do you see,pa hrefhttpsororenwikipediaorgorwikiorthedresshttpsororenwikipediaorgorwikiorthedressoraorpp orp,,,2019-09-30T18:56:14Z
12,,348881,,what do you hear ,piframe srchttpsororwwwyoutubecomorembedorddvn4wqjh6g width560 height315 allowfullscreenallowfullscreen allowaccelerometer autoplay encryptedmedia gyroscope pictureinpictureoriframeorp,,,2019-09-30T18:56:14Z
13,60616.0,1127201,348881.0,what do you hear ,piframe srchttpsororwwwyoutubecomorembedorddvn4wqjh6g width560 height315 allowfullscreenallowfullscreen allowaccelerometer autoplay encryptedmedia gyroscope pictureinpictureoriframeorp,<p>YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel </p>,,2019-11-02T07:24:34Z
14,,348880,,what do you mean,piframe srchttpsororwwwyoutubecomorembedordk0jxpuir0 width560 height315 allowfullscreenallowfullscreen allowaccelerometer autoplay encryptedmedia gyroscope pictureinpictureoriframeorp,,,2019-09-30T18:56:14Z
15,,348879,,hackathon feedback,no message,,,2019-09-30T18:56:14Z
16,,348878,,learning analytics conference at ubc,pif youre interested in learning analytics  theres a conference at ubc in june a hrefhttpsororsolaresearchorgoreventsorlasiorlasi19orhttpsororsolaresearchorgoreventsorlasiorlasi19ororaorppstudents get their membership for free ubc is an institutional member and can apply for scholarships for registration scholarships apply only to phd studentsorp,,,2019-09-30T18:56:14Z
17,,348877,,what do you choose ,pketchup or mustard you must pick one defend your choice orppif you disagree with one of your peers respond orppps general  be a reasonable human applies here be respectful this is for funorp,,,2019-09-30T18:56:13Z
18,53016.0,1091409,348877.0,what do you choose ,pketchup or mustard you must pick one defend your choice orppif you disagree with one of your peers respond orppps general  be a reasonable human applies here be respectful this is for funorp,<p>Ketchup because mustard is too spicy for me </p>,,2019-10-21T23:09:15Z
